Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
19-12-2025,13:36,19-12-2025,CELLNEX TELECOM SA,ES0105066007,"Venta 3 Cellnex Telecom SA@26,62 EUR (ES0105066007)",,EUR,"79,86",EUR,"2320,77",5743c1ae-a30f-4e37-8520-bea15da0345f
19-12-2025,13:35,19-12-2025,INTERNATIONAL CONSOLIDATED AIRLINES,ES0177542018,Costes de transacción y/o externos de DEGIRO,,EUR,"-2,00",EUR,"2240,91",99ab1291-2815-4143-8722-99b8f3068e0e
19-12-2025,13:35,19-12-2025,INTERNATIONAL CONSOLIDATED AIRLINES,ES0177542018,"Venta 50 International Consolidated Airlines Group SA@4,761 EUR (ES0177542018)",,EUR,"238,05",EUR,"2242,91",99ab1291-2815-4143-8722-99b8f3068e0e
19-12-2025,13:34,19-12-2025,ISHARES CORE S&P 500 UCITS ETF USD,IE0031442068,Costes de transacción y/o externos de DEGIRO,,EUR,"-3,00",EUR,"2004,86",ba324c7e-5a1e-4242-bbcb-57849a2f819c
19-12-2025,13:34,19-12-2025,ISHARES CORE S&P 500 UCITS ETF USD,IE0031442068,"Venta 13 iShares Core S&P 500 UCITS ETF USD (Dist)@57,677 EUR (IE0031442068)",,EUR,"749,80",EUR,"2007,86",ba324c7e-5a1e-4242-bbcb-57849a2f819c
19-12-2025,13:28,19-12-2025,AIRBUS SE,NL0000235190,Costes de transacción y/o externos de DEGIRO,,EUR,"-2,00",EUR,"1258,06",1fd5ecdb-c839-4ce4-9638-d1e4b754ac34
19-12-2025,13:28,19-12-2025,AIRBUS SE,NL0000235190,"Venta 6 Airbus SE@194,48 EUR (NL0000235190)",,EUR,"1166,88",EUR,"1260,06",1fd5ecdb-c839-4ce4-9638-d1e4b754ac34
02-12-2025,07:47,02-12-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1,94 EUR",,,,EUR,"93,18",
02-12-2025,07:47,02-12-2025,,,Degiro Cash Sweep Transfer,,EUR,"-1,94",EUR,"91,24",
02-12-2025,06:59,01-12-2025,INTERNATIONAL CONSOLIDATED AIRLINES,ES0177542018,Dividendo,,EUR,"2,40",EUR,"93,18",
02-12-2025,06:59,01-12-2025,INTERNATIONAL CONSOLIDATED AIRLINES,ES0177542018,Retención del dividendo,,EUR,"-0,46",EUR,"90,78",
17-11-2025,04:04,17-11-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,38 EUR",,,,EUR,"91,24",
17-11-2025,04:03,17-11-2025,,,Degiro Cash Sweep Transfer,,EUR,"-0,38",EUR,"90,86",
15-11-2025,06:41,14-11-2025,,,Ingreso Cambio de Divisa,,EUR,"0,38",EUR,"91,24",
15-11-2025,06:41,14-11-2025,,,Retirada Cambio de Divisa,"1,1650",USD,"-0,44",USD,"0,00",
14-11-2025,09:45,13-11-2025,APPLE INC,US0378331005,Retención del dividendo,,USD,"-0,08",USD,"0,44",
14-11-2025,09:45,13-11-2025,APPLE INC,US0378331005,Dividendo,,USD,"0,52",USD,"0,52",
05-10-2025,16:40,30-09-2025,,,Flatex Interest Income,,EUR,"0,00",EUR,"90,86",
01-10-2025,07:40,01-10-2025,,,Degiro Cash Sweep Transfer,,EUR,"-0,38",EUR,"90,86",
01-10-2025,07:40,01-10-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,38 EUR",,,,EUR,"91,24",
01-10-2025,06:45,30-09-2025,,,Ingreso Cambio de Divisa,,EUR,"0,38",EUR,"90,86",
01-10-2025,06:45,30-09-2025,,,Retirada Cambio de Divisa,"1,1762",USD,"-0,45",USD,"0,00",
