Fecha,Moneda,Cantidad,Tipo,Descripción
2026-01-23,EUR,1000.0,Deposit,CASH RECEIPTS / ELECTRONIC FUND TRANSFERS
2026-02-25,EUR,1000.0,Deposit,CASH RECEIPTS / ELECTRONIC FUND TRANSFERS
2026-01-02,MXN,30000.0,Deposit,CASH RECEIPTS / ELECTRONIC FUND TRANSFERS
2026-02-03,MXN,25000.0,Deposit,CASH RECEIPTS / ELECTRONIC FUND TRANSFERS
